통계표,계정항목,단위,가중치,변환,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12
"4.2.1. 소비자물가지수","총지수","2020=100","1000","원자료","98.884","99.311","99.121","99.481","99.652","99.491","99.187","99.425","99.794","100.041","99.481","99.719","100.09","100.16","99.94","99.5","99.44","99.71","99.63","100.19","100.74","100.18","100.09","100.33","101.04","101.58","101.84","101.98","102.05","102.05","102.26","102.75","103.17","103.35","103.87","104.04","104.85","105.42","106.1","106.83","107.5","108.21","108.73","108.63","108.82","109.16","109.07","109.26","110.07","110.33","110.52","110.77","111.13","111.16","111.29","112.28","112.85","113.27","112.68","112.73","113.17","113.78","113.95","114.01","114.1","113.84","114.13","114.54","114.65","114.69","114.4","114.91"
"4.2.1. 소비자물가지수","  식료품 및 비주류음료","2020=100","142","원자료","95.789","96.441","95.508","96.318","95.816","94.768","93.923","94.821","97.304","97.497","94.988","95.974","97.16","96.66","98.06","97.65","98.45","98.68","99.15","101.8","104.79","104.85","101.24","101.51","103.39","105.69","105.84","105.35","105.16","104.56","104.75","106.2","107.87","106.72","107.25","107.85","109.34","109.63","109.55","110.29","111.35","111.32","112.99","114.56","116.06","114.72","112.46","113.53","115.37","115.91","116.46","115.9","115.99","116.3","117.3","120.53","122.46","122.85","119.8","120.56","122.2","123.96","124.22","122.75","121.9","120.68","121.54","122.99","124.72","124.53","121.32","123.61"
"4.2.1. 소비자물가지수","    식료품","2020=100","132.3","원자료","95.512","96.229","95.276","96.185","95.59","94.462","93.553","94.497","97.191","97.322","94.76","95.809","96.98","96.5","97.97","97.49","98.34","98.59","99.09","101.91","105.12","105.16","101.25","101.6","103.55","106.05","106.16","105.67","105.46","104.82","104.98","106.54","108.31","107.02","107.5","108.09","109.63","109.8","109.72","110.38","111.55","111.47","113.32","115.04","116.57","115.1","112.66","113.71","115.46","115.82","116.3","115.68","115.84","116.06","117.13","120.68","122.71","123.09","119.81","120.65","122.38","124.3","124.72","123.06","122.1","120.91","121.57","123.16","125.05","124.74","121.24","123.52"
"4.2.1. 소비자물가지수","      빵 및 곡물","2020=100","22.3","원자료","98.675","98.851","99.519","99.633","99.853","99.73","99.633","99.466","99.37","99.712","99.624","99.308","98.78","99.16","99.5","99.46","99.33","99.37","99.17","99.42","99.89","100.98","102.18","102.76","103.51","103.53","105.77","105.98","106.32","106.48","106.67","106.76","107.57","107.63","107.43","107.41","107.38","107.86","109.92","109.77","109.81","109.66","110.54","111.04","110.99","112.89","114.12","114.27","114.1","116.27","116.19","116.69","116.72","116.79","116.67","117.83","118.67","120.14","119.6","119.52","119.36","118.98","118.86","117.96","118.59","118.72","118.53","118.27","117.88","119.01","119.44","121.15"
"4.2.1. 소비자물가지수","        쌀","2020=100","4.2","원자료","100.411","100.258","100.216","99.435","99.698","99.197","98.9","98.348","98.518","98.636","98.832","98.059","97.65","97.52","97.28","97.09","96.91","97.19","97.14","97.73","100.14","103.86","108.33","109.17","109.54","109.84","110.19","110.08","110.65","110.73","111.17","111.2","109.91","107.1","106.8","105.63","103.98","102.93","101.94","99.94","98.25","96.75","95.2","92.73","90.22","91.04","96.21","95.79","94.27","94.6","93.99","93.43","94.04","94.34","95.56","100.05","103.44","108.58","106.41","105.79","104.96","103.26","101.24","97.65","100.38","100.55","100.35","98.78","98.35","99.18","99.88","99.38"
"4.2.1. 소비자물가지수","        현미","2020=100","0.4","원자료","103.774","104.214","104.205","104.059","103.748","104.059","104.637","104.326","104.396","104.43","103.592","102.486","100.48","99.43","99.94","100.23","99.81","99.41","98.98","98.85","97.92","99.4","100.85","104.69","105.8","105.81","105.44","106.29","108.18","108.45","108.45","108.81","108.83","108.91","108.53","108.41","107.3","106.56","105.35","105.26","104.02","102.96","102.32","101.37","101.76","101.05","100.45","98.87","98.32","97.68","96.17","96.16","96.02","96.07","96.46","96.93","97.68","98.85","99.94","100.36","101.98","102.45","102.77","102.67","103.55","103.42","103.55","104.15","104.13","104","105.28","108.51"
"4.2.1. 소비자물가지수","        찹쌀","2020=100","0.5","원자료","106.108","105.709","105.397","106.039","105.753","105.753","103.645","102.812","104.304","104.443","103.888","101.971","100.93","100.3","100.58","99.86","99.09","99.08","97.71","97.58","98.53","99.99","102.18","104.16","105.73","106.39","106.58","107.25","107.68","107.82","106.43","106","108","108.13","107.48","106.47","104.86","103.77","101.65","100.85","99.78","98.72","97.47","95.65","96.96","96.83","95.79","94.73","92.62","93.53","93.34","93.32","93","93.1","91.58","92.11","94.5","95.77","97.66","98.81","99.6","99.46","100.75","100.62","101.77","100.91","99.96","99.67","101.39","101.34","104.69","111.3"
"4.2.1. 소비자물가지수","        보리쌀","2020=100","0.2","원자료","111.487","111.487","111.476","111.497","111.142","111.226","110.233","108.091","107.317","106.575","106.366","104.778","103.49","103.4","102.82","102.01","98.86","99.44","98.6","98.13","98.52","98.32","98.24","98.16","98.32","98.4","98.1","98.01","98.21","98.62","100.48","100.96","101.27","101.54","101.72","101.43","101.82","101.54","102.49","103.15","103.03","103.56","106.59","108.84","109.5","110.08","111.03","110.74","111.66","112.04","113.04","113.58","113.7","113.92","114.95","116.55","116.97","118.03","118.23","118.36","118.8","118.72","120","121.66","122.24","123.49","130.62","137.6","142.69","143.84","149.16","158.42"
"4.2.1. 소비자물가지수","        콩","2020=100","0.5","원자료","116.329","116.605","116.651","116.98","117.019","116.053","115.05","114.345","113.104","112.154","110.745","106.922","102.98","99.99","99.87","99.31","98.09","97.15","97.15","97.39","97.81","98.51","101.85","109.9","114.73","116.99","116.96","117.38","117.23","117.58","117.63","116.61","117.43","117.48","116.86","113.13","111.21","107.37","106.74","105.09","104.37","103.59","102.98","102.95","102.45","102.67","101.95","100.18","99.32","97.8","98.08","98.42","98.19","98.26","97.84","98.17","99.71","101.29","101.92","102.5","101.76","103.88","103.37","103.21","103.93","104.08","104.55","105.69","105.67","105.71","105.82","106.63"
"4.2.1. 소비자물가지수","        땅콩","2020=100","0.1","원자료","91.847","92.957","94.004","93.72","94.173","94.271","94.928","94.484","94.919","94.04","95.132","96.26","97.46","97.25","97.83","98.21","98.38","99.83","100.18","100.63","100.94","101.71","103.55","104.04","104.32","104.55","104.96","104.42","104.84","105.38","105.62","105.8","106.32","105.73","104.92","104.88","104.21","105.4","105.95","106.17","107.06","106.68","107.09","106.29","106.4","106.02","106.45","106.83","107.18","107.35","107.98","108.1","108.99","108.7","109.45","109.55","109.82","110.79","113.04","114.58","113.96","114.36","115.76","116.61","117.05","118.14","117.94","118.23","118.22","118.68","119.54","120.44"
