Category: All categories

Month,스트레스: (South Korea),우울증: (South Korea),불안: (South Korea),불면증: (South Korea),외로움: (South Korea)
2019-01,15,16,8,6,3
2019-02,17,16,8,6,3
2019-03,18,18,10,6,4
2019-04,22,20,11,6,3
2019-05,25,22,11,6,4
2019-06,22,20,10,6,3
2019-07,19,20,9,5,4
2019-08,18,20,10,5,3
2019-09,22,20,10,6,3
2019-10,22,26,12,5,4
2019-11,23,25,11,6,4
2019-12,17,23,10,5,4
2020-01,17,19,9,6,3
2020-02,18,18,9,6,3
2020-03,20,18,10,6,3
2020-04,24,22,12,6,4
2020-05,26,25,15,6,4
2020-06,27,25,15,6,3
2020-07,23,24,11,6,3
2020-08,20,23,11,5,3
2020-09,23,24,12,6,3
2020-10,23,24,13,6,3
2020-11,26,28,14,5,3
2020-12,20,21,11,5,3
2021-01,18,19,9,6,3
2021-02,19,20,10,6,3
2021-03,23,22,12,5,3
2021-04,24,24,12,5,3
2021-05,24,24,12,5,3
2021-06,25,23,12,6,3
2021-07,20,20,10,4,3
2021-08,20,21,11,5,4
2021-09,24,22,12,6,3
2021-10,25,22,13,6,4
2021-11,27,24,13,5,3
2021-12,22,22,13,5,3
2022-01,22,23,11,6,3
2022-02,23,31,13,6,4
2022-03,29,28,15,6,4
2022-04,29,31,16,6,4
2022-05,30,31,16,6,4
2022-06,29,29,15,5,4
2022-07,24,25,13,5,4
2022-08,23,25,13,5,4
2022-09,26,26,15,6,4
2022-10,26,29,15,5,4
2022-11,27,27,16,5,4
2022-12,24,23,13,5,4
2023-01,21,23,13,6,4
2023-02,24,25,14,6,3
2023-03,26,28,14,5,4
2023-04,27,100,15,5,4
2023-05,27,30,14,5,4
2023-06,23,25,12,5,3
2023-07,19,24,10,4,3
2023-08,20,22,11,4,3
2023-09,24,23,12,4,3
2023-10,24,22,13,4,3
2023-11,23,27,14,4,3
2023-12,21,21,12,4,3
2024-01,19,22,11,5,3
2024-02,20,20,11,4,3
2024-03,23,23,13,4,3
2024-04,24,23,13,4,3
2024-05,26,22,14,5,4
2024-06,26,22,19,5,4
2024-07,22,20,19,4,4
2024-08,22,21,15,4,4
2024-09,24,24,15,5,4
2024-10,25,27,17,5,4
2024-11,27,24,17,4,4
2024-12,28,23,17,5,4
